docente;CD-EVAL+B1:L28SILABO1;CD-EVALFIN2;CD-EVALINI3;CD-EVENTOSREAL4;CD-AVANCESILABO5;CD-CONTSILAB6;CD-RESPONDE7;CD-PRACTICAS8;EM-RETO1;EM-IDEA2;EM-PART3
DC1;4;4;4;4;4;4;4;4;4;4;4
DC2;3,38;3,58;3,27;3,62;3,54;3,69;3,58;3,73;3,31;3,04;3,38
DC3;3;4;4;4;3;4;4;4;4;4;4
DC4;2,31;3,25;2,13;3;2,38;3,13;2,88;1,69;2,38;2,06;2,38
DC5;2,8;3,2;2,8;3,4;3,6;3,6;3,6;3,8;3,4;3,2;3,2
DC6;2,34;2,94;1,77;3;2,66;2,83;2,66;1,66;2,26;2,34;2,6
DC7;3,85;3,77;3,77;3,77;3,85;4;4;3,85;3,85;3,92;4
DC8;4;4;4;4;4;4;4;4;4;4;4
DC9;3,5;3;2,5;3,5;3;3,5;4;4;3,5;3;3
DC10;2,8;3;3,7;3,6;3;3,3;3,4;2,9;3,3;3,4;3,6
DC11;3;3,25;2,88;3,5;3,38;3,5;3,38;3,63;3,38;3,38;3,25
DC12;3;3,5;3;3,67;3,83;3,83;3,83;3,67;3,67;3,67;3,83
DC13;3,67;4;3;4;3,67;3,67;4;3,33;4;3,67;4
DC14;2,92;2,92;2,33;2,92;2,67;2,92;3;3,58;2,92;2,83;3
DC15;3,4;3,2;2,8;3;2,8;3,2;3,6;4;3,2;2,8;2,8
DC16;2;2;3;2;3;2;3;3;3;3;3
DC17;3,4;3,6;3,4;3,2;4;4;3,6;2,8;3,8;3,4;3
DC18;3,38;3,38;2,92;3,08;3,46;3,23;3,23;2,54;2,92;2,92;3,38
DC19;3,5;3,4;3,3;3,8;3,5;3,7;3,7;3,7;3,5;3,7;3,7
DC20;3,29;3,47;2,94;3,71;3,59;3,71;3,82;3,24;3,53;3,53;3,76
DC21;2,64;3;2,73;3,45;3;3,18;3,64;3,18;3,27;3,36;3,45
DC22;2,7;2,4;2,4;3,4;2,2;2,8;3,6;2,6;3,4;3,5;3,4
DC23;3,8;3,4;3,4;3,6;3,6;3,8;3,8;3,8;3,6;3,8;3,6
DC24;3;3;1,5;3,5;3,5;3,5;3,5;2;2,5;3;3
DC25;4;4;1;3;4;3;3;4;4;1;4
DC26;3,25;4;3,5;3,75;4;4;3,75;3,25;3,5;3,25;3,5
